fraudulent,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,located_in_US,low_required_education,money_in_title,money_in_description,consecutive_punctuation,des_avg_sent_length,has_no_company_profile,has_short_company_profile,has_short_description,has_short_requirements
1,0,50,2,0,0,0,0,0,0.0,0.0,0.0,0,31.25,1,1,0,1
0,0,70,20,10,0,0,0,1,0.0,0.0,0.0,0,37.0,1,1,0,0
1,41,104,56,0,1,1,0,0,0.0,0.0,0.0,0,10.0,0,0,0,0
1,0,112,6,0,0,0,0,1,0.0,0.0,0.0,0,15.914285714285715,1,1,0,1
1,0,42,4,8,0,0,1,0,0.0,0.0,0.0,0,28.0,1,1,0,1
0,7,83,0,0,1,1,0,0,0.0,0.0,0.0,0,65.0,0,1,0,1
0,57,59,0,53,1,1,0,1,0.0,0.0,0.0,0,12.133333333333333,0,0,0,1
1,0,92,91,51,0,0,0,0,1.0,0.0,0.0,0,37.25,1,1,0,0
1,0,25,0,0,0,0,0,1,1.0,0.0,0.0,0,75.0,1,1,0,1
0,130,180,60,0,1,1,0,1,0.0,0.0,0.0,0,25.0,0,0,0,0
0,25,182,0,0,0,0,0,1,0.0,0.0,0.0,0,12.416666666666666,0,0,0,1
0,269,165,87,23,1,1,0,1,0.0,0.0,0.0,0,9.5,0,0,0,0
1,157,13,88,36,1,1,1,0,0.0,0.0,0.0,0,5.0,0,0,0,0
0,0,63,265,12,0,0,0,1,0.0,0.0,1.0,0,21.5,1,1,0,0
0,81,32,3,7,0,0,0,1,0.0,0.0,1.0,0,18.5,0,0,0,1
0,10,39,20,3,1,1,1,1,0.0,0.0,0.0,0,40.833333333333336,0,0,0,0
1,0,313,0,0,0,0,0,0,0.0,0.0,0.0,0,15.272727272727273,1,1,0,1
1,0,219,36,68,0,0,0,1,1.0,0.0,0.0,0,47.25,1,1,0,0
0,193,53,113,42,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,65,139,95,70,1,1,1,1,0.0,0.0,1.0,0,23.0,0,0,0,0
0,127,89,109,67,1,1,0,1,0.0,0.0,0.0,0,45.0,0,0,0,0
0,54,139,54,45,1,1,0,1,1.0,0.0,0.0,0,18.0,0,0,0,0
1,0,251,316,0,0,0,0,1,1.0,0.0,0.0,0,22.846153846153847,1,1,0,0
1,0,89,82,86,0,0,0,1,0.0,0.0,0.0,0,61.0,1,1,0,0
1,0,235,65,140,0,0,1,0,0.0,0.0,0.0,0,7.666666666666667,1,1,0,0
1,0,68,17,54,0,0,0,1,1.0,0.0,0.0,0,33.6,1,1,0,0
1,0,14,9,13,0,0,1,1,0.0,0.0,1.0,0,21.5,1,1,0,1
1,0,44,39,19,0,0,0,1,1.0,0.0,0.0,0,30.4,1,1,0,0
1,0,68,17,40,0,0,1,1,1.0,0.0,0.0,1,24.0,1,1,0,0
0,139,169,135,81,1,1,0,1,1.0,0.0,0.0,0,35.333333333333336,0,0,0,0
0,67,96,85,120,1,1,0,1,0.0,0.0,0.0,0,20.5,0,0,0,0
1,0,88,0,0,0,0,0,1,0.0,0.0,0.0,0,13.0,1,1,0,1
1,36,201,64,158,1,1,0,1,0.0,0.0,0.0,0,16.0,0,0,0,0
0,10,22,84,10,1,1,0,0,0.0,0.0,0.0,0,9.75,0,0,0,0
1,111,255,136,47,1,1,1,1,0.0,0.0,0.0,0,16.0,0,0,0,0
1,0,229,22,0,0,0,0,0,0.0,0.0,1.0,0,23.6,1,1,0,0
1,0,66,44,19,0,0,0,1,0.0,0.0,0.0,0,11.9,1,1,0,0
0,38,171,58,27,1,1,0,1,0.0,0.0,0.0,0,11.8,0,0,0,0
1,0,258,112,61,0,0,0,1,0.0,0.0,1.0,0,19.0,1,1,0,0
0,41,177,54,72,1,1,0,1,1.0,0.0,0.0,0,20.625,0,0,0,0
1,71,43,8,10,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,1
0,0,42,0,0,0,0,0,1,1.0,0.0,0.0,0,35.75,1,1,0,1
0,0,46,0,0,0,0,0,1,0.0,0.0,0.0,0,94.5,1,1,0,1
0,21,272,45,0,1,1,1,0,0.0,0.0,0.0,0,13.0,0,0,0,0
0,0,102,42,73,0,0,1,0,0.0,0.0,0.0,0,13.5,1,1,0,0
1,0,215,22,25,0,0,1,1,0.0,0.0,0.0,0,19.25,1,1,0,0
1,0,215,0,0,0,0,0,1,0.0,0.0,0.0,0,12.727272727272727,1,1,0,1
0,0,299,65,0,1,1,1,1,0.0,0.0,0.0,0,12.666666666666666,1,1,0,0
0,77,62,11,3,1,1,1,0,0.0,0.0,0.0,0,14.0,0,0,0,0
1,0,36,40,0,0,0,0,1,1.0,0.0,0.0,0,13.6,1,1,0,0
0,104,202,172,79,1,1,1,1,1.0,0.0,0.0,0,37.5,0,0,0,0
1,0,215,22,25,0,0,1,0,0.0,0.0,0.0,0,8.666666666666666,1,1,0,0
0,75,115,34,0,1,1,1,1,1.0,0.0,0.0,0,29.75,0,0,0,0
1,0,122,34,0,0,0,1,0,0.0,0.0,0.0,0,32.5,1,1,0,0
0,0,261,0,14,0,0,0,1,1.0,0.0,0.0,0,98.5,1,1,0,1
1,0,41,35,27,0,0,0,1,0.0,0.0,0.0,0,19.25,1,1,0,0
0,157,124,105,237,1,1,0,1,0.0,0.0,1.0,0,16.454545454545453,0,0,0,0
1,0,130,0,59,0,0,0,0,0.0,0.0,0.0,0,10.727272727272727,1,1,0,1
1,0,215,22,25,0,0,0,1,0.0,0.0,1.0,0,21.5,1,1,0,0
1,0,140,27,48,0,0,0,1,1.0,0.0,0.0,0,16.923076923076923,1,1,0,0
0,10,37,19,3,1,1,0,0,0.0,0.0,0.0,0,19.4,0,0,0,0
1,0,42,5,6,0,0,0,1,1.0,0.0,0.0,0,34.0,1,1,0,1
1,45,163,402,0,1,1,1,1,1.0,0.0,0.0,0,36.75,0,0,0,0
1,0,28,0,0,0,0,0,1,0.0,0.0,0.0,0,11.666666666666666,1,1,0,1
0,0,287,233,0,0,0,0,1,1.0,0.0,0.0,0,32.6,1,1,0,0
0,79,109,70,34,1,1,1,1,1.0,0.0,0.0,0,41.0,0,0,0,0
1,0,41,35,29,0,0,0,0,0.0,0.0,0.0,0,55.0,1,1,0,0
1,125,76,79,0,1,1,1,0,0.0,0.0,1.0,0,21.5,0,0,0,0
1,111,180,40,0,1,1,1,1,0.0,0.0,0.0,0,22.0,0,0,0,0
0,77,55,11,3,1,1,1,0,0.0,0.0,0.0,0,10.75,0,0,0,0
0,0,41,65,9,0,0,1,1,1.0,0.0,1.0,0,105.0,1,1,0,0
0,124,233,26,67,1,1,0,1,1.0,0.0,0.0,0,12.625,0,0,0,0
1,0,75,6,9,0,0,0,0,1.0,0.0,0.0,0,17.25,1,1,0,1
0,8,226,43,58,1,1,1,1,0.0,0.0,0.0,0,39.75,0,1,0,0
1,0,215,22,25,0,0,1,0,0.0,0.0,0.0,0,16.333333333333332,1,1,0,0
0,78,296,192,0,1,1,0,1,1.0,0.0,0.0,0,38.0,0,0,0,0
0,51,292,118,37,1,1,1,1,1.0,0.0,0.0,0,11.75,0,0,0,0
0,57,30,134,8,0,0,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,0,114,46,5,0,0,0,1,0.0,0.0,0.0,0,18.25,1,1,0,0
0,73,241,177,91,1,1,0,0,0.0,0.0,1.0,0,21.5,0,0,0,0
1,0,25,15,7,1,1,0,0,0.0,0.0,0.0,0,15.333333333333334,1,1,0,0
0,43,235,0,0,1,1,1,1,1.0,0.0,0.0,0,37.75,0,0,0,1
1,0,42,0,0,0,0,0,1,0.0,0.0,1.0,0,25.5,1,1,0,1
0,80,42,35,0,1,1,1,1,0.0,0.0,0.0,0,13.051282051282051,0,0,0,0
1,0,5,75,0,0,0,1,0,1.0,0.0,0.0,0,11.6,1,1,1,0
1,0,168,0,0,0,0,0,0,0.0,0.0,0.0,0,16.636363636363637,1,1,0,1
0,28,61,64,0,1,1,1,1,0.0,0.0,0.0,0,29.11111111111111,0,0,0,0
0,41,132,0,0,1,1,1,1,0.0,0.0,1.0,0,13.96,0,0,0,1
0,39,183,59,128,1,1,1,1,1.0,0.0,0.0,0,49.666666666666664,0,0,0,0
0,48,124,213,49,1,1,1,1,1.0,0.0,0.0,0,36.75,0,0,0,0
0,124,98,387,25,1,1,1,1,1.0,0.0,0.0,0,38.75,0,0,0,0
0,44,103,23,19,1,1,1,0,0.0,0.0,0.0,0,22.6,0,0,0,0
1,59,319,0,0,1,1,0,1,0.0,0.0,0.0,0,11.4,0,0,0,1
1,75,59,28,31,1,1,0,0,1.0,0.0,0.0,0,12.0,0,0,0,0
0,77,80,0,0,1,1,0,1,0.0,0.0,0.0,0,22.555555555555557,0,0,0,1
0,78,649,0,82,1,1,0,1,0.0,0.0,0.0,0,11.5,0,0,0,1
1,0,45,14,53,0,0,0,1,0.0,0.0,0.0,0,9.125,1,1,0,0
0,21,323,22,0,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,79,48,45,29,1,1,1,1,1.0,0.0,0.0,0,59.0,0,0,0,0
1,0,48,35,0,0,0,0,0,0.0,0.0,0.0,0,16.8,1,1,0,0
0,0,55,40,19,0,0,1,0,0.0,0.0,1.0,0,21.5,1,1,0,0
0,124,97,59,82,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,29,146,36,46,1,1,0,1,1.0,0.0,0.0,0,42.666666666666664,0,0,0,0
0,105,125,215,0,1,1,0,1,0.0,0.0,0.0,0,17.5,0,0,0,0
0,77,62,9,2,1,1,1,0,0.0,0.0,0.0,0,23.25,0,0,0,1
0,169,104,12,0,1,1,1,1,0.0,0.0,0.0,0,29.666666666666668,0,0,0,0
0,130,58,119,0,1,1,0,1,0.0,1.0,0.0,0,15.571428571428571,0,0,0,0
0,3,114,0,0,1,1,0,1,1.0,0.0,0.0,0,15.571428571428571,0,1,0,1
0,60,167,120,82,1,1,0,1,1.0,0.0,0.0,0,29.75,0,0,0,0
0,46,91,0,0,1,1,1,0,0.0,0.0,0.0,0,19.4,0,0,0,1
1,0,68,17,54,0,0,0,0,0.0,0.0,0.0,0,16.0,1,1,0,0
1,0,114,46,5,0,0,0,1,0.0,0.0,1.0,0,21.5,1,1,0,0
1,41,61,9,4,1,1,1,0,0.0,0.0,0.0,0,51.0,0,0,0,1
0,26,165,116,35,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,0,35,1,0,0,0,1,1,1.0,0.0,0.0,0,12.666666666666666,1,1,0,1
1,125,406,137,78,1,1,1,0,0.0,0.0,0.0,0,4.666666666666667,0,0,0,0
1,0,221,68,22,0,0,0,1,1.0,0.0,0.0,0,16.923076923076923,1,1,0,0
1,111,185,75,0,1,1,1,1,1.0,0.0,0.0,0,37.75,0,0,0,0
0,127,222,60,49,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,0,44,39,19,0,0,0,1,1.0,0.0,0.0,0,39.75,1,1,0,0
1,0,243,282,0,0,0,0,0,0.0,0.0,0.0,0,12.142857142857142,1,1,0,0
1,0,49,4,6,0,0,0,1,0.0,0.0,1.0,0,17.0,1,1,0,1
0,17,76,18,0,1,1,0,0,0.0,0.0,0.0,0,9.333333333333334,0,0,0,0
1,0,45,14,53,0,0,0,0,0.0,0.0,0.0,0,131.0,1,1,0,0
1,0,68,17,54,0,0,0,1,1.0,0.0,0.0,0,12.666666666666666,1,1,0,0
0,13,98,71,0,1,1,1,1,0.0,0.0,0.0,0,12.571428571428571,0,0,0,0
0,32,156,18,41,1,1,0,0,0.0,0.0,0.0,0,16.0,0,0,0,0
0,64,215,140,0,1,1,0,1,0.0,0.0,0.0,0,33.625,0,0,0,0
0,93,184,67,56,1,1,1,1,0.0,0.0,0.0,0,12.375,0,0,0,0
0,139,316,181,67,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,10,432,78,0,1,1,0,1,0.0,0.0,0.0,0,16.904761904761905,0,0,0,0
0,221,144,121,75,1,1,1,0,0.0,0.0,0.0,0,17.0,0,0,0,0
1,0,53,3,0,0,0,0,1,1.0,1.0,0.0,0,9.0,1,1,0,1
0,106,444,46,0,1,1,1,1,1.0,0.0,0.0,0,32.625,0,0,0,0
1,47,201,44,40,1,1,1,1,0.0,0.0,0.0,0,3.5,0,0,0,0
0,172,197,63,0,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,0,42,437,8,1,1,0,1,0.0,0.0,0.0,0,27.0,1,1,0,0
0,77,81,0,0,1,1,0,1,0.0,0.0,1.0,0,18.5,0,0,0,1
1,111,255,136,47,1,1,1,1,1.0,0.0,0.0,0,9.818181818181818,0,0,0,0
0,25,312,115,0,0,0,0,1,0.0,0.0,0.0,0,32.75,0,0,0,0
0,0,114,0,80,0,0,0,0,0.0,0.0,0.0,0,19.0,1,1,0,1
1,0,215,22,25,0,0,1,1,1.0,0.0,0.0,0,49.666666666666664,1,1,0,0
1,0,65,0,0,0,0,0,0,0.0,0.0,0.0,0,19.0,1,1,0,1
1,124,20,28,6,1,1,1,0,0.0,0.0,0.0,0,19.5,0,0,0,0
1,125,210,139,0,1,1,1,0,0.0,0.0,0.0,0,58.0,0,0,0,0
1,0,81,0,0,0,0,0,1,1.0,0.0,0.0,0,12.428571428571429,1,1,0,1
1,0,88,0,0,0,0,0,0,0.0,0.0,0.0,0,17.428571428571427,1,1,0,1
0,75,126,36,58,1,1,1,1,1.0,0.0,0.0,0,33.666666666666664,0,0,0,0
0,10,30,19,3,1,1,1,0,0.0,0.0,0.0,0,14.0,0,0,0,0
0,125,72,56,21,1,1,0,0,0.0,0.0,0.0,1,18.88888888888889,0,0,0,0
0,92,254,176,0,1,1,0,0,0.0,0.0,0.0,0,19.0,0,0,0,0
0,44,115,35,0,1,1,1,1,0.0,0.0,0.0,0,45.6,0,0,0,0
1,0,60,13,14,0,0,0,1,0.0,0.0,0.0,0,17.5,1,1,0,0
1,0,112,6,0,0,0,0,1,1.0,0.0,0.0,0,37.0,1,1,0,1
1,0,82,0,0,0,0,0,1,0.0,0.0,1.0,0,23.0,1,1,0,1
1,0,58,81,2,0,0,0,1,1.0,0.0,0.0,0,15.0,1,1,0,0
0,79,136,102,0,1,1,0,1,0.0,0.0,0.0,0,19.5,0,0,0,0
0,44,94,244,0,1,1,1,0,0.0,0.0,0.0,0,6.0,0,0,0,0
1,0,16,0,0,0,0,1,0,0.0,0.0,0.0,0,2.0,1,1,0,1
0,43,325,118,0,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,77,80,0,0,1,1,0,1,0.0,0.0,0.0,0,12.0,0,0,0,1
0,50,385,96,11,1,1,1,1,0.0,0.0,1.0,0,9.0,0,0,0,0
1,63,132,54,286,1,1,1,0,0.0,0.0,0.0,0,21.5,0,0,0,0
1,0,63,0,78,0,0,1,0,0.0,0.0,0.0,0,19.4,1,1,0,1
0,43,74,36,23,1,1,1,1,1.0,0.0,0.0,0,47.25,0,0,0,0
0,78,151,82,0,1,1,0,1,0.0,0.0,0.0,0,22.0,0,0,0,0
1,41,99,77,0,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,0,77,91,11,0,0,0,1,0.0,0.0,1.0,0,21.5,1,1,0,0
0,121,34,49,41,1,1,1,1,1.0,0.0,0.0,0,12.428571428571429,0,0,0,0
1,0,79,75,80,0,0,0,1,0.0,0.0,0.0,0,13.4,1,1,0,0
0,133,251,65,39,1,1,1,1,0.0,0.0,0.0,0,13.923076923076923,0,0,0,0
0,77,73,11,3,1,1,1,0,0.0,0.0,0.0,0,128.0,0,0,0,0
0,127,196,35,23,1,1,1,0,0.0,0.0,0.0,0,29.5,0,0,0,0
0,79,181,161,79,1,1,0,0,0.0,0.0,0.0,0,13.538461538461538,0,0,0,0
0,25,124,0,0,0,0,0,1,0.0,0.0,1.0,0,21.5,0,0,0,1
1,0,243,282,0,0,0,0,0,0.0,0.0,1.0,0,9.0,1,1,0,0
1,0,408,0,0,0,0,0,0,0.0,0.0,0.0,0,18.75,1,1,0,1
1,0,67,18,0,0,0,0,1,0.0,0.0,0.0,0,16.0,1,1,0,0
1,0,55,3,0,0,0,0,0,0.0,0.0,0.0,0,9.6,1,1,0,1
0,141,265,141,44,1,1,0,0,0.0,0.0,0.0,0,25.5,0,0,0,0
0,227,68,122,0,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,49,68,54,0,1,1,0,1,0.0,0.0,0.0,0,17.0,0,0,0,0
1,0,40,48,20,0,0,0,0,0.0,0.0,0.0,0,21.0,1,1,0,0
0,25,182,0,0,0,0,0,1,0.0,0.0,0.0,0,27.666666666666668,0,0,0,1
1,0,108,4,0,1,1,0,0,0.0,0.0,0.0,0,13.61111111111111,1,1,0,1
1,0,144,37,0,0,0,0,1,1.0,0.0,0.0,0,48.0,1,1,0,0
1,0,34,0,0,0,0,0,1,0.0,0.0,1.0,0,21.5,1,1,0,1
0,0,17,0,75,0,0,0,1,1.0,0.0,0.0,0,37.5,1,1,0,1
1,0,304,0,0,0,0,0,1,1.0,0.0,0.0,0,36.25,1,1,0,1
0,40,185,69,55,1,1,0,0,0.0,0.0,0.0,0,28.25,0,0,0,0
1,0,320,68,19,0,0,0,1,1.0,0.0,0.0,0,33.2,1,1,0,0
0,50,112,23,0,1,1,1,0,1.0,0.0,0.0,0,32.0,0,0,0,0
0,78,79,102,0,1,1,0,1,0.0,0.0,0.0,0,22.048780487804876,0,0,0,0
1,0,67,18,0,0,0,0,1,1.0,0.0,0.0,0,11.75,1,1,0,0
1,125,185,140,0,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,49,134,45,10,1,1,1,0,0.0,0.0,0.0,0,63.333333333333336,0,0,0,0
1,0,254,77,0,0,0,0,0,0.0,0.0,0.0,0,45.0,1,1,0,0
0,18,39,86,20,1,1,1,0,0.0,0.0,0.0,0,11.909090909090908,0,0,0,0
1,0,206,0,0,0,0,0,1,1.0,0.0,0.0,1,44.0,1,1,0,1
0,75,145,111,35,1,1,1,0,1.0,0.0,0.0,0,12.6,0,0,0,0
1,0,78,19,22,0,0,0,0,0.0,0.0,0.0,0,6.666666666666667,1,1,0,0
1,125,170,27,109,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,41,187,96,22,1,1,0,1,1.0,0.0,0.0,0,71.5,0,0,0,0
1,0,25,15,7,1,1,0,0,0.0,0.0,0.0,0,17.0,1,1,0,0
1,0,45,14,53,0,0,0,1,0.0,0.0,1.0,0,21.5,1,1,0,0
1,0,215,22,25,0,0,1,0,0.0,0.0,0.0,0,11.666666666666666,1,1,0,0
1,0,90,35,24,0,0,0,1,1.0,0.0,0.0,0,13.4,1,1,0,0
0,78,129,82,0,1,1,0,1,0.0,0.0,0.0,0,23.545454545454547,0,0,0,0
0,25,78,0,0,0,0,0,1,1.0,0.0,0.0,0,39.25,0,0,0,1
0,143,124,56,46,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,0,81,42,85,0,0,1,0,1.0,0.0,0.0,0,14.0,1,1,0,0
0,138,17,0,0,1,1,1,0,0.0,0.0,0.0,0,18.818181818181817,0,0,0,1
1,0,51,36,0,0,0,0,0,0.0,0.0,0.0,0,23.0,1,1,0,0
1,26,65,35,16,1,1,0,0,1.0,0.0,0.0,0,15.0,0,0,0,0
0,170,158,222,0,0,0,0,1,0.0,0.0,0.0,0,22.344827586206897,0,0,0,0
0,155,107,228,0,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,161,76,61,0,1,1,1,0,0.0,0.0,0.0,0,13.666666666666666,0,0,0,0
1,0,185,0,0,0,0,0,1,0.0,0.0,0.0,0,70.0,1,1,0,1
0,0,71,19,26,0,0,1,1,1.0,0.0,0.0,0,39.25,1,1,0,0
0,25,106,0,0,0,0,0,0,0.0,0.0,0.0,0,28.833333333333332,0,0,0,1
1,0,151,34,32,0,0,0,0,0.0,0.0,1.0,0,18.0,1,1,0,0
1,146,263,147,87,1,1,1,0,0.0,0.0,1.0,0,18.5,0,0,0,0
1,0,44,0,0,0,0,0,1,0.0,0.0,0.0,0,17.208333333333332,1,1,0,1
0,75,160,63,30,1,1,1,0,0.0,0.0,0.0,0,18.75,0,0,0,0
0,112,57,110,0,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,29,163,85,2,0,0,0,0,0.0,0.0,0.0,0,19.0,0,0,0,0
1,0,42,5,6,0,0,0,0,0.0,0.0,0.0,0,26.285714285714285,1,1,0,1
1,41,268,85,62,1,1,0,0,0.0,0.0,0.0,0,13.133333333333333,0,0,0,0
0,271,328,1,0,1,1,1,0,0.0,0.0,0.0,0,22.0,0,0,0,1
1,0,54,54,42,0,0,0,0,0.0,0.0,0.0,0,21.6,1,1,0,0
0,73,285,50,141,1,1,1,1,0.0,0.0,0.0,0,11.833333333333334,0,0,0,0
0,49,14,222,0,1,1,0,1,0.0,0.0,1.0,0,18.5,0,0,0,0
0,63,348,1,0,0,0,0,1,0.0,0.0,0.0,0,11.125,0,0,0,1
1,0,57,3,0,0,0,0,0,0.0,0.0,0.0,0,19.428571428571427,1,1,0,1
0,0,131,15,6,1,1,0,1,0.0,0.0,0.0,0,15.571428571428571,1,1,0,0
1,0,42,0,0,0,0,0,1,0.0,0.0,0.0,0,8.958333333333334,1,1,0,1
0,0,192,23,8,1,1,1,1,1.0,0.0,0.0,0,42.333333333333336,1,1,0,0
1,75,59,28,31,1,1,0,1,0.0,0.0,0.0,0,13.583333333333334,0,0,0,0
0,126,23,17,0,1,1,1,0,1.0,0.0,0.0,0,13.0,0,0,0,0
1,0,231,91,0,0,0,0,1,1.0,0.0,1.0,0,10.142857142857142,1,1,0,0
1,0,43,54,33,0,0,0,1,0.0,0.0,1.0,0,17.214285714285715,1,1,0,0
1,0,83,60,67,0,0,0,0,1.0,0.0,0.0,0,12.833333333333334,1,1,0,0
0,99,246,59,0,1,1,1,1,0.0,0.0,0.0,0,33.4,0,0,0,0
1,0,218,101,14,0,0,0,1,0.0,0.0,1.0,0,23.5,1,1,0,0
0,54,94,37,90,1,1,0,1,0.0,0.0,0.0,0,18.82051282051282,0,0,0,0
0,40,156,48,14,1,1,1,1,1.0,0.0,0.0,0,37.75,0,0,0,0
0,14,128,40,12,1,1,0,0,0.0,0.0,0.0,0,12.5,0,0,0,0
0,211,248,98,0,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
0,24,68,52,2,1,1,0,1,0.0,0.0,0.0,0,27.571428571428573,0,0,0,0
1,125,85,111,155,1,1,1,1,0.0,0.0,0.0,0,15.428571428571429,0,0,0,0
0,59,142,26,38,1,1,0,1,0.0,0.0,0.0,0,10.2,0,0,0,0
0,25,146,0,0,0,0,0,1,0.0,0.0,1.0,0,21.5,0,0,0,1
0,78,147,81,0,1,1,0,0,0.0,0.0,0.0,0,16.6,0,0,0,0
0,271,222,0,0,1,1,0,0,0.0,0.0,0.0,0,20.0,0,0,0,1
0,68,95,119,31,1,1,1,1,0.0,0.0,1.0,0,26.636363636363637,0,0,0,0
0,172,132,0,0,1,1,0,0,0.0,0.0,0.0,0,8.0,0,0,0,1
1,0,89,3,3,0,0,0,1,0.0,0.0,1.0,0,18.5,1,1,0,1
1,0,41,69,10,1,1,1,1,0.0,0.0,0.0,0,23.7,1,1,0,0
0,128,125,63,27,1,1,1,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,75,59,28,31,1,1,0,1,0.0,0.0,0.0,0,12.761904761904763,0,0,0,0
1,0,48,227,80,0,0,0,1,0.0,0.0,0.0,0,11.473684210526315,1,1,0,0
0,10,43,16,3,1,1,1,1,0.0,0.0,1.0,0,22.09090909090909,0,0,0,0
0,178,54,75,178,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,0,257,0,0,0,0,0,1,0.0,0.0,1.0,0,25.8,1,1,0,1
1,0,215,22,25,0,0,1,0,1.0,0.0,0.0,0,12.6,1,1,0,0
0,0,125,0,0,1,1,0,1,0.0,0.0,0.0,0,37.0,1,1,0,1
1,75,59,28,31,1,1,0,1,0.0,0.0,0.0,0,36.2,0,0,0,0
0,54,370,372,11,1,1,1,1,0.0,0.0,0.0,0,12.11111111111111,0,0,0,0
1,0,42,437,8,1,1,0,1,0.0,0.0,0.0,0,12.083333333333334,1,1,0,0
1,0,211,0,0,0,0,0,1,0.0,0.0,0.0,0,16.8,1,1,0,1
1,75,59,28,31,1,1,0,1,0.0,0.0,1.0,0,21.5,0,0,0,0
1,41,209,77,22,1,1,0,1,0.0,0.0,0.0,0,25.666666666666668,0,0,0,0
1,10,300,142,105,1,1,1,0,0.0,0.0,0.0,0,26.4,0,0,0,0
1,96,219,75,21,1,1,1,0,0.0,0.0,0.0,0,16.555555555555557,0,0,0,0
0,26,147,41,0,1,1,0,0,0.0,0.0,0.0,0,17.4,0,0,0,0
0,98,183,109,40,1,1,1,1,0.0,0.0,0.0,0,24.166666666666668,0,0,0,0
1,0,68,17,54,0,0,0,1,0.0,0.0,1.0,0,13.571428571428571,1,1,0,0
0,66,96,80,96,1,1,1,1,1.0,0.0,0.0,0,37.5,0,0,0,0
1,0,182,91,55,0,0,0,1,0.0,0.0,0.0,0,22.75,1,1,0,0
1,36,107,44,100,1,1,1,0,0.0,0.0,0.0,0,13.0,0,0,0,0
0,15,183,78,53,1,1,0,1,0.0,0.0,0.0,0,17.333333333333332,0,0,0,0
0,77,80,0,0,1,1,0,1,0.0,0.0,0.0,0,12.5,0,0,0,1
